"Academy at Westinghouse","Pittsburgh","PA","academy-at-westinghouse-pittsburgh-pa","1"
"Academy Charter High School","Lake Como","NJ","academy-charter-high-school-lake-como-nj","1"
"Academy Charter School","Hempstead","NY","academy-charter-school-hempstead-ny","1"
"Academy Cs","Pittsburgh","PA","academy-cs-pittsburgh-pa","1"
"Academy for Academic Excellence","Apple Valley","CA","academy-for-academic-excellence-apple-valley-ca","1"
"Academy for Academic Excellence","Clarksville","TN","academy-for-academic-excellence-clarksville-tn","1"
"Academy for Allied Health Sciences","Scotch Plains","NJ","academy-for-allied-health-sciences-scotch-plains-nj","1"
"Academy for Arts/Science/Technology","Myrtle Beach","SC","academy-for-arts-science-technology-myrtle-beach-sc","1"
"Academy for Biotechnology","Mountain Lakes","NJ","academy-for-biotechnology-mountain-lakes-nj","1"
"Academy for Business and Technology High School","Melvindale","MI","academy-for-business-and-technology-high-school-melvindale-mi","1"
"Academy for Career Exploration","Providence","RI","academy-for-career-exploration-providence-ri","1"
"Academy for Careers and Technology","Mullins","SC","academy-for-careers-and-technology-mullins-sc","1"
"Academy for Careers in Television and Film","Long Island City","NY","academy-for-careers-in-television-and-film-long-island-city-ny","1"
"Academy for Change","Chico","CA","academy-for-change-chico-ca","1"
"Academy for Character Education","Cottage Grove","OR","academy-for-character-education-cottage-grove-or","1"
"Academy for Classical Education","Macon","GA","academy-for-classical-education-macon-ga","1"
"Academy for College and Career Exploration","Baltimore","MD","academy-for-college-and-career-exploration-baltimore-md","1"
"Academy for Community Education (Ace)","El Portal","FL","academy-for-community-education-ace-el-portal-fl","1"
"Academy for Conservation and the Environment","Brooklyn","NY","academy-for-conservation-and-the-environment-brooklyn-ny","1"
"Academy for Environmental Leadership","Brooklyn","NY","academy-for-environmental-leadership-brooklyn-ny","1"
"Academy for Environmental Science","Oak Ridge","NJ","academy-for-environmental-science-oak-ridge-nj","1"
"Academy for Health Careers","Brooklyn","NY","academy-for-health-careers-brooklyn-ny","1"
"Academy for Ideal Education","Washington","DC","academy-for-ideal-education-washington-dc","1"
"Academy for Individual Excellence","Louisville","KY","academy-for-individual-excellence-louisville-ky","1"
"Academy for Information Technology","Scotch Plains","NJ","academy-for-information-technology-scotch-plains-nj","1"
"Academy for Innovative Studies","Evansville","IN","academy-for-innovative-studies-evansville-in","1"
"Academy for Language and Technology","Bronx","NY","academy-for-language-and-technology-bronx-ny","1"
"Academy for Law and Public Safety","Butler","NJ","academy-for-law-and-public-safety-butler-nj","1"
"Academy for Learning","Las Vegas","NV","academy-for-learning-las-vegas-nv","1"
"Academy for Math Engineering & Science (Ames)","Salt Lake City","UT","academy-for-math-engineering-science-ames-salt-lake-city-ut","1"
"Academy for Mathematics Science and Engineering","Rockaway","NJ","academy-for-mathematics-science-and-engineering-rockaway-nj","1"
"Academy for Performing Arts","Scotch Plains","NJ","academy-for-performing-arts-scotch-plains-nj","1"
"Academy for Precision Learning","Seattle","WA","academy-for-precision-learning-seattle-wa","1"
"Academy for Scholarship and Entrepreneurship","Bronx","NY","academy-for-scholarship-and-entrepreneurship-bronx-ny","1"
"Academy for Science and Design Charter (H)","Nashua","NH","academy-for-science-and-design-charter-h-nashua-nh","1"
"Academy for Social Action-a College Board School","New York","NY","academy-for-social-action-a-college-board-school-new-york-ny","1"
"Academy for Software Engineering","New York","NY","academy-for-software-engineering-new-york-ny","1"
"Academy for Tech & Class","Santa Fe","NM","academy-for-tech-class-santa-fe-nm","1"
"Academy for Technology and Academics","Conway","SC","academy-for-technology-and-academics-conway-sc","1"
"Academy for Technology Engineering Math & Science","Abilene","TX","academy-for-technology-engineering-math-science-abilene-tx","1"
"Academy for Urban Leadership Charter School","Perth Amboy","NJ","academy-for-urban-leadership-charter-school-perth-amboy-nj","1"
"Academy for Urban Scholars Youngstown","Youngstown","OH","academy-for-urban-scholars-youngstown-youngstown-oh","1"
"Academy for Young Writers","Brooklyn","NY","academy-for-young-writers-brooklyn-ny","1"
"Academy H S","Little River","TX","academy-h-s-little-river-tx","1"
"Academy High School","Thornton","CO","academy-high-school-thornton-co","1"
"Academy Learning Center","Monroe Township","NJ","academy-learning-center-monroe-township-nj","1"
"Academy Nw/Family Academy","Seattle","WA","academy-nw-family-academy-seattle-wa","1"
"Academy of Ability","Orlando","FL","academy-of-ability-orlando-fl","1"
"Academy of Aerospace and Engineering","Windsor","CT","academy-of-aerospace-and-engineering-windsor-ct","1"
"Academy of Allied Health and Science","Neptune","NJ","academy-of-allied-health-and-science-neptune-nj","1"
